_id,id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages
65ef3f32675dde8010853337,36669,Die Another Day,5.963,3197,Released,,431971116,133,FALSE,,140000000,,,en,,,28.423,,,"Adventure, Action, Thriller",,,
65ef3f30675dde801085307f,47933,Independence Day: Resurgence,5.283,5674,Released,,389681935,120,FALSE,,165000000,,,en,,,31.224,,,"Action, Adventure, Science Fiction",,,
65ef3f30675dde801085303e,47964,A Good Day to Die Hard,5.3,6052,Released,,304654182,98,FALSE,,92000000,,,en,,,88.883,,,"Action, Thriller",,,
65ef3f32675dde80108531c7,37834,Knight and Day,6.195,4141,Released,,261989769,109,FALSE,,117000000,,,en,,,24.293,,,"Action, Comedy",,,
65ef3f34675dde8010853755,11009,Saturday Night Fever,6.714,1742,Released,,237113184,119,FALSE,,3500000,,,en,,,20.571,,,"Music, Drama",,,
65ef3f32675dde8010853352,10200,The Day the Earth Stood Still,5.598,3133,Released,,233093859,104,FALSE,,80000000,,,en,,,26.564,,,"Drama, Science Fiction, Thriller",,,
65ef3f32675dde8010853477,1268,Mr. Bean's Holiday,6.342,2619,Released,,232225908,90,FALSE,,25000000,,,en,,,22.843,,,"Family, Comedy",,,
65ef3f3d675dde8010854cf2,575813,Better Days,8.183,360,Released,,225879065,135,FALSE,,0,,,zh,,,14.964,,,Drama,,,
65ef3f32675dde80108533d8,32856,Valentine's Day,5.905,2889,Released,,216485654,125,FALSE,,52000000,,,en,,,16.528,,,"Comedy, Romance",,,
65ef3f34675dde80108537a9,9946,End of Days,6.043,1681,Released,,211989043,121,FALSE,,100000000,,,en,,,17.89,,,"Action, Fantasy, Horror, Mystery",,,
65ef3f30675dde801085315d,1581,The Holiday,7.078,4592,Released,,194168700,136,FALSE,,85000000,,,en,,,19.822,,,"Comedy, Romance",,,
65ef3f34675dde8010853833,708,The Living Daylights,6.505,1580,Released,,191185897,130,FALSE,,40000000,,,en,,,20.543,,,"Action, Adventure, Thriller",,,
65ef3f32675dde80108532bf,9919,How to Lose a Guy in 10 Days,6.754,3496,Released,,177502387,116,FALSE,,50000000,,,en,,,22.124,,,"Comedy, Romance",,,
65ef3f36675dde8010853a04,6068,Six Days Seven Nights,6.039,1325,Released,,164839294,98,FALSE,,70000000,,,en,,,16.824,,,"Adventure, Action, Comedy, Romance",,,
65ef3f34675dde801085365e,10708,Daddy Day Care,5.895,1965,Released,,164433867,92,FALSE,,60000000,,,en,,,21.538,,,"Comedy, Family",,,
